Abogado/a;
Actor /Actriz;
Agente de viaje;
Arquitecto/a;
Astrónomo/a;
Autor/a;
Barrendero/a;
Bibliotecario/a;
Bombero/a;
Carabinero/a;
Cartero/a;
Carnicero/a;
Carpintero/a;
Científico/a;
Cirujano/a;
Conductor/a;
Contador/a;
Corredor de propiedades;
Chef/Cociner;
Dentista;
Diseñador/a;
Doctor/a;
Electricista;
Enfermero/a;
Estilista;
Farmacéutico/a;
Fontanero/a;
Florista;
Fotógrafo/a;
Gásfiter;
Gasfitero;
Granjero/Campesino;
Jardinero/a;
Juez/a;
Júnior;
Lector/a;
Limpiador/a;
Maestro de construcción;
Mecánico/a;
Mesero/a;
Modelo/a;
Oftalmólogo;
Panadero/a;
Periodista;
Pescador/a;
Pintor/a;
Piloto;
Plomero/a;
Policía;
Político;
Profesor/a;
Psiquiatra;
Recepcionista;
Salvavidas;
Sastre;
Secretario/a;
Soldado;
Taxista;
Trabajador/a;
Traductor/a;
Vendedor/a;
Veterinario/a;
